plant_id,image_path,source,source_page,source_file_url,downloaded_file_url,title,author,license,license_url,reviewed_status
PLANT-0084,/images/plants/local/plant-0084-local-gallery-03.png,Local Flora image folder,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 1.png,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 1.png,,???????? ????????? - ????????? ???? ????????,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0084,/images/plants/local/plant-0084-local-gallery-04.png,Local Flora image folder,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 2.png,C:\Users\??????7\Desktop\flora_aroma\???????????\???????? ????????? 2.png,,???????? ????????? - ????????? ???? ????????,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0088,/images/plants/local/plant-0088-local-gallery-01.jpg,Local Flora image folder,,,,Арабіс кавказький 2.jpg,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0088,/images/plants/local/plant-0088-local-gallery-02.jpg,Local Flora image folder,,,,Арабіс кавказький 3.jpg,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0052,/images/plants/local/plant-0052-local-gallery-01.jpg,Local Flora image folder,,,,Вербена буенос-айреська V-120 1.jpg,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0052,/images/plants/local/plant-0052-local-gallery-02.jpg,Local Flora image folder,,,,Вербена буенос-айреська 2.jpg,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0052,/images/plants/local/plant-0052-local-gallery-03.webp,Local Flora image folder,,,,Вербена буенос-айреська 1.webp,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0064,/images/plants/local/plant-0064-local-gallery-04.jpg,Local Flora image folder,,,,Волошка синя V-120 1.jpg,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0042,/images/plants/local/plant-0042-local-gallery-06.jpg,Local Flora image folder,,,,Kniphofia uvaria local photo 4,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
PLANT-0011,/images/plants/local/plant-0011-local-gallery-02.jfif,Local Flora image folder,,,,Lupinus polyphyllus local photo 2,Flora & Aroma local file,local_review_needed,,operator_selected_for_storefront
